,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+,Job requires Tertiary qualification,Job Does not require a Tertiary qualification,% holding Job requiring Tertiary,% holding job not requiring Tertiary,Born in Australia,Born outside of Australia,Percent born in Aus,Percent born outside of Aus
55,Burwood,7237,653.0,2594.0,5862.0,3028.0,2894.0,3204.0,2918.0,52.3358379614505,47.6641620385495,7028.0,7991.0,46.794060856248755,53.205939143751245
56,Burwood East,7327,490.0,1540.0,2985.0,2517.0,2743.0,2258.0,2208.0,50.55978504254366,49.440214957456334,4925.0,5348.0,47.94120510074954,52.05879489925046
57,Cairnlea,7527,678.0,2283.0,2804.0,2829.0,1072.0,1685.0,2695.0,38.4703196347032,61.5296803652968,4369.0,5288.0,45.24179351765559,54.75820648234442
58,Camberwell,7677,1002.0,4419.0,5211.0,6005.0,5437.0,6735.0,3730.0,64.3573817486861,35.6426182513139,14746.0,7335.0,66.78139577011912,33.218604229880896
59,Campbellfield,7717,328.0,1021.0,1397.0,1159.0,1155.0,488.0,952.0,33.88888888888889,66.11111111111111,2139.0,2917.0,42.30617088607595,57.69382911392405
60,Canterbury,7907,319.0,1729.0,1619.0,2245.0,2124.0,2454.0,1251.0,66.23481781376518,33.76518218623482,5378.0,2678.0,66.75769612711024,33.24230387288977
61,Carlton,8217,435.0,3231.0,11435.0,1959.0,1476.0,3716.0,2645.0,58.41848765917309,41.58151234082691,5063.0,13472.0,27.315888858915567,72.68411114108444
62,Carlton North,8247,280.0,570.0,3047.0,1363.0,1020.0,2619.0,1309.0,66.67515274949083,33.324847250509166,4386.0,1914.0,69.61904761904762,30.38095238095238
63,Carnegie,8297,1055.0,2295.0,6939.0,4026.0,3070.0,5071.0,3587.0,58.57010857010857,41.42989142989143,8702.0,8686.0,50.04600874166092,49.95399125833909
64,Caroline Springs,8327,2037.0,6217.0,7088.0,6690.0,2168.0,5126.0,6221.0,45.17493610645985,54.82506389354014,13621.0,10584.0,56.27349721131998,43.72650278868003
65,Carrum,8497,258.0,569.0,1111.0,1128.0,911.0,1022.0,967.0,51.38260432378079,48.6173956762192,2830.0,1150.0,71.10552763819096,28.894472361809044
66,Carrum Downs,8507,1558.0,3879.0,6097.0,5620.0,3562.0,3738.0,6230.0,37.5,62.5,14229.0,6482.0,68.7026217951813,31.297378204818692
67,Caulfield,8687,306.0,861.0,1536.0,1301.0,1604.0,1581.0,1012.0,60.971847281141535,39.028152718858465,2949.0,2646.0,52.70777479892761,47.292225201072384
68,Caulfield East,8707,59.0,262.0,754.0,304.0,207.0,382.0,296.0,56.342182890855455,43.657817109144545,678.0,906.0,42.803030303030305,57.1969696969697
69,Caulfield North,8747,848.0,2409.0,4895.0,3439.0,3683.0,4976.0,2651.0,65.24190376294743,34.75809623705258,8913.0,6356.0,58.373174405658524,41.626825594341476
70,Caulfield South,8787,696.0,2096.0,2988.0,3288.0,2784.0,3719.0,2253.0,62.27394507702613,37.72605492297388,6889.0,4965.0,58.115404083009956,41.884595916990044
71,Chadstone,8847,564.0,1170.0,3485.0,1945.0,1489.0,2243.0,1905.0,54.07425265188043,45.92574734811958,3987.0,4654.0,46.140492998495546,53.85950700150446
72,Chelsea,8927,558.0,1042.0,2104.0,2045.0,2024.0,1919.0,1756.0,52.21768707482993,47.78231292517007,5267.0,2506.0,67.7601955486942,32.2398044513058
73,Chelsea Heights,8937,362.0,1014.0,1298.0,1499.0,1166.0,1201.0,1415.0,45.90978593272171,54.09021406727829,3748.0,1587.0,70.25304592314902,29.746954076850983
74,Cheltenham,8967,1395.0,3754.0,5694.0,6064.0,5388.0,5948.0,4959.0,54.5337856422481,45.4662143577519,14849.0,7442.0,66.61432865281952,33.38567134718048
75,Chirnside Park,9137,580.0,1845.0,2534.0,2647.0,2259.0,2378.0,2655.0,47.24816212994238,52.751837870057614,7410.0,2462.0,75.06077795786061,24.939222042139384
76,Clarinda,9257,350.0,1108.0,2012.0,1939.0,2069.0,1400.0,1940.0,41.91616766467065,58.08383233532935,3281.0,4200.0,43.85777302499666,56.14222697500334
77,Clayton,9327,848.0,3057.0,10928.0,2277.0,2246.0,3181.0,3432.0,48.1022228942991,51.8977771057009,4962.0,14396.0,25.63281330715983,74.36718669284016
78,Clayton South,9367,847.0,1785.0,4958.0,2597.0,2454.0,2269.0,3135.0,41.987416728349366,58.012583271650634,3911.0,8731.0,30.93656067077994,69.06343932922006
79,Clifton Hill,9437,405.0,840.0,2304.0,1733.0,1041.0,2592.0,1056.0,71.05263157894737,28.947368421052634,4532.0,1809.0,71.47137675445514,28.528623245544864
80,Coburg,9707,1653.0,3685.0,9529.0,6743.0,4578.0,7532.0,5745.0,56.729682910296,43.270317089703994,16257.0,9928.0,62.08516326140921,37.91483673859079
81,Coburg North,9727,579.0,1075.0,2483.0,1969.0,1487.0,1862.0,1621.0,53.4596612115992,46.5403387884008,4377.0,3224.0,57.5845283515327,42.4154716484673
82,Collingwood,9987,431.0,813.0,4585.0,1833.0,838.0,3114.0,1600.0,66.05854900296988,33.94145099703012,4409.0,4104.0,51.79137789263479,48.20862210736521
83,Coolaroo,10107,232.0,616.0,858.0,745.0,745.0,232.0,589.0,28.25822168087698,71.74177831912301,1625.0,1566.0,50.924475086179875,49.07552491382012
84,Craigieburn,10597,5255.0,11218.0,18121.0,11367.0,4375.0,8114.0,13736.0,37.1350114416476,62.86498855835241,26682.0,23665.0,52.996206328083105,47.0037936719169
85,Cranbourne,10627,1540.0,4032.0,5916.0,5188.0,3401.0,3101.0,5558.0,35.81244947453517,64.18755052546483,12504.0,7590.0,62.22753060615109,37.772469393848915
86,Cranbourne North,10657,2043.0,4553.0,6671.0,4864.0,1985.0,3646.0,5683.0,39.08243112873834,60.917568871261665,11204.0,8906.0,55.71357533565391,44.2864246643461
87,Cremorne,10737,96.0,142.0,1174.0,454.0,154.0,968.0,410.0,70.24673439767778,29.753265602322205,1367.0,651.0,67.74033696729434,32.259663032705646
88,Croydon,10867,1861.0,4379.0,7583.0,6587.0,6525.0,6264.0,6413.0,49.4123215271752,50.587678472824805,19136.0,7810.0,71.01610628664737,28.983893713352632
89,Croydon Hills,10877,258.0,1139.0,1129.0,1595.0,867.0,1414.0,1411.0,50.05309734513275,49.94690265486726,4052.0,940.0,81.1698717948718,18.830128205128204
90,Croydon North,10887,511.0,1505.0,1940.0,2249.0,1666.0,2082.0,2058.0,50.289855072463766,49.710144927536234,6113.0,1747.0,77.7735368956743,22.2264631043257
