,Unnamed: 0,Suburb,ID,0 to 4,5 to 19,20 to 39,40 to 59,60+
303,303,Whittlesea,43777,329,1231,1264,1501,1311
304,304,Williams Landing,48227,884,1181,2951,1338,299
305,305,Williamstown,43967,764,2891,2749,4634,2922
306,306,Williamstown North,43977,87,264,388,496,346
307,307,Windsor,44117,250,475,3787,1395,1378
308,308,Wollert,44357,1281,1566,4023,1549,631
309,309,Wonga Park,44437,157,883,724,1291,750
310,310,Wyndham Vale,45307,2448,5348,8079,5207,2212
311,311,Yallambie,45427,313,832,1207,1068,699
312,312,Yarra Glen,45657,176,604,682,773,632
313,313,Yarraville,45777,1152,2275,5051,4309,2162
